iter	MultiClass
0	4.544778935
1	3.947133075
2	3.520250223
3	3.222131071
4	3.015253196
5	2.847861965
6	2.691928146
7	2.58157554
8	2.460137224
9	2.348211107
10	2.249144359
11	2.160591095
12	2.093973619
13	2.039332381
14	1.985643688
15	1.926059422
16	1.869559833
17	1.818147992
18	1.767433968
19	1.73544225
20	1.701231976
21	1.662531595
22	1.634479859
23	1.602027215
24	1.57048601
25	1.548636907
26	1.531129302
27	1.506580911
28	1.484014566
29	1.466483595
30	1.445290287
31	1.42726708
32	1.405936665
33	1.386072091
34	1.363042985
35	1.348351658
36	1.333234328
37	1.30966627
38	1.29485482
39	1.274729541
40	1.261153251
41	1.24604228
42	1.23676189
43	1.223297535
44	1.210111042
45	1.195786406
46	1.185087927
47	1.174004449
48	1.163499637
49	1.152319899
50	1.138537293
51	1.127607039
52	1.117910831
53	1.106115271
54	1.096072456
55	1.085408898
56	1.073584927
57	1.06444949
58	1.05476426
59	1.046191707
60	1.036837142
61	1.028514559
62	1.021579041
63	1.012831943
64	1.00550964
65	0.9984585505
66	0.991833243
67	0.9833233431
68	0.9746026981
69	0.9664804986
70	0.9597397262
71	0.9518559378
72	0.9449771365
73	0.9372292225
74	0.9308598614
75	0.9231583081
76	0.9170054628
77	0.9110891222
78	0.9053800674
79	0.8997412436
80	0.8933492363
81	0.8871648163
82	0.8812522724
83	0.8746711936
84	0.8691400694
85	0.8626288236
86	0.8565016371
87	0.8505620091
88	0.8440026844
89	0.8394979969
90	0.8339983196
91	0.8277845024
92	0.8223924337
93	0.8164137024
94	0.8101548515
95	0.8048811127
96	0.7998457918
97	0.7961711085
98	0.7927012707
99	0.7882296463
100	0.7825494318
101	0.7773751519
102	0.7722158238
103	0.7679570349
104	0.7634786511
105	0.7588864719
106	0.7535028137
107	0.7491177018
108	0.7447906147
109	0.7403056783
110	0.7361251759
111	0.7327392707
112	0.7289105113
113	0.7252695547
114	0.7226537019
115	0.7187789184
116	0.7150002756
117	0.7110539723
118	0.7074929505
119	0.7033412763
120	0.6991926021
121	0.6947770648
122	0.6906858727
123	0.6860748175
124	0.6816149192
125	0.6778380882
126	0.6747070554
127	0.6710978892
128	0.6668979534
129	0.663320195
130	0.659590667
131	0.6563257834
132	0.652761339
133	0.6490290422
134	0.6451933051
135	0.6414222562
136	0.6376823835
137	0.6342435086
138	0.6306239855
139	0.6277158513
140	0.6245581532
141	0.6212974879
142	0.6177045839
143	0.6134094995
144	0.6101685859
145	0.6075111
146	0.6038588743
147	0.6012995183
148	0.5984268586
149	0.5950542443
