iter	Passed	Remaining
0	1186	176766
1	2097	155237
2	3080	150939
3	4036	147339
4	5007	145209
5	5937	142496
6	6872	140390
7	7818	138772
8	8772	137432
9	9714	136000
10	10672	134866
11	11626	133701
12	12561	132378
13	13529	131433
14	14425	129829
15	15420	129145
16	16354	127952
17	17262	126590
18	18209	125552
19	19203	124820
20	20278	124567
21	21214	123431
22	22196	122565
23	23174	121668
24	24095	120477
25	25073	119581
26	26071	118768
27	27090	118038
28	28045	117019
29	29012	116049
30	30044	115333
31	31023	114399
32	32034	113578
33	32976	112508
34	33993	111692
35	34936	110632
36	36006	109966
37	36983	109003
38	37982	108104
39	38967	107159
40	39957	106229
41	40963	105334
42	41964	104423
43	42929	103420
44	43930	102505
45	44958	101645
46	45947	100692
47	46958	99786
48	47954	98844
49	48992	97985
50	50027	97112
51	51042	96195
52	52048	95258
53	53095	94391
54	54054	93367
55	55052	92410
56	56013	91390
57	57013	90435
58	58099	89610
59	59066	88599
60	60151	87761
61	61205	86872
62	62209	85908
63	63289	85045
64	64248	84016
65	65299	83108
66	66229	82045
67	67317	81177
68	68384	80276
69	69375	79286
70	70453	78392
71	71538	77500
72	72515	76488
73	73498	75485
74	74490	74490
75	75587	73598
76	76673	72690
77	77688	71712
78	78779	70801
79	79829	69850
80	81014	69012
81	82188	68156
82	83315	67255
83	84427	66335
84	85550	65420
85	86616	64458
86	87561	63406
87	88478	62337
88	89564	61386
89	90545	60363
90	91502	59325
91	92525	58331
92	93540	57330
93	94573	56341
94	95515	55298
95	96488	54274
96	97507	53277
97	98474	52251
98	99423	51217
99	100373	50186
100	101349	49169
101	102344	48162
102	103326	47148
103	104276	46122
104	105238	45102
105	106197	44082
106	107178	43071
107	108112	42043
108	109097	41036
109	110078	40028
110	111101	39035
111	112025	38008
112	112995	36998
113	113996	35998
114	114966	34989
115	115921	33977
116	116942	32983
117	117916	31977
118	118911	30976
119	119927	29981
120	120941	28985
121	122014	28003
122	123011	27002
123	124053	26011
124	125085	25017
125	126096	24018
126	127077	23014
127	128005	22000
128	129112	21018
129	130050	20007
130	131038	19005
131	131995	17999
132	132991	16998
133	134053	16006
134	135112	15012
135	136140	14014
136	137251	13023
137	138321	12027
138	139347	11027
139	140308	10022
140	141317	9020
141	142319	8017
142	143334	7016
143	144388	6016
144	145353	5012
145	146317	4008
146	147342	3006
147	148277	2003
148	149254	1001
149	150276	0
